Name,Draft Year,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Antonio Reeves,2024,Wing,SEC,Kentucky,#0033A0,47,New Orleans Pelicans,NOP,23.58,76.5,"6'4.5""",80.25,"6'8.25""",3.75,187
Harrison Ingram,2024,Wing,ACC,North Carolina,#7BAFD4,48,San Antonio Spurs,SAS,21.56,77.25,"6'5.25""",84.25,"7'0.25""",7,234
Tristen Newton,2024,Guard,Big East,UConn,#E4002B,49,Indiana Pacers,IND,23.15,75.25,"6'3.25""",78.75,"6'6.75""",3.5,192
Enrique Freeman,2024,Big,MAC,Akron,#A89968,50,Indiana Pacers,IND,23.91,79.25,"6'7.25""",86,"7'2""",6.75,212
Melvin Ajinca,2024,Wing,French LNB Élite,Saint-Quentin,#194187,51,Dallas Mavericks,DAL,19.98,79.25,"6'7.25""",79.5,"6'7.5""",0.25,214
Quinten Post,2024,Big,ACC,Boston College,#98002E,52,Golden State Warriors,GSW,24.25,84,"7'0""",86.5,"7'2.5""",2.5,244
Cam Spencer,2024,Guard,Big East,UConn,#E4002B,53,Memphis Grizzlies,MEM,24.21,75,"6'3""",77,"6'5""",2,202
Anton Watson,2024,Wing,WCC,Gonzaga,#C8102E,54,Boston Celtics,BOS,23.7,80,"6'8""",84,"7'0""",4,228
Bronny James,2024,Guard,PAC 12,USC,#990000,55,Los Angeles Lakers,LAL,19.64,73.5,"6'1.5""",79.25,"6'7.25""",5.75,210
Kevin McCullar Jr.,2024,Wing,Big 12,Kansas,#0051BA,56,New York Knicks,NYK,23.27,77.25,"6'5.25""",81,"6'9""",3.75,206
Ulrich Chomche,2024,Big,NBA BAL,NBA Academy Africa,#39814E,57,Toronto Raptors,TOR,18.47,82.25,"6'10.25""",88,"7'4""",5.75,232
Ariel Hukporti,2024,Big,Aus. NBL,Melbourne United,#2253F5,58,New York Knicks,NYK,22.19,82.75,"6'10.75""",86.5,"7'2.5""",3.75,246
Trey Alexander,2024,Guard,Big East,Creighton,#005CA9,UDFA,Denver Nuggets,DEN,21.13,75.25,"6'3.25""",82.5,"6'10.5""",7.25,187
PJ Hall,2024,Big,ACC,Clemson,#F56600,UDFA,Denver Nuggets,DEN,22.33,80.25,"6'8.25""",85.5,"7'1.5""",5.25,240
Keshad Johnson,2024,Wing,PAC 12,Arizona,#CC0033,UDFA,Miami Heat,MIA,22.99,78.25,"6'6.25""",82.25,"6'10.25""",4,224
Jalen Bridges,2024,Wing,Big 12,Baylor,#154734,UDFA,Phoenix Suns,PHX,23.1,78.75,"6'6.75""",82,"6'10""",3.25,213
Trentyn Flowers,2024,Wing,Aus. NBL,Adelaide,#DA3739,UDFA,Los Angeles Clippers,LAC,19.28,78.5,"6'6.5""",80.25,"6'8.25""",1.75,201
Reece Beekman,2024,Guard,ACC,Virginia,#F84C1E,UDFA,Golden State Warriors,GSW,22.7,73.25,"6'1.25""",78.5,"6'6.5""",5.25,196
Zyon Pullin,2024,Guard,SEC,Florida,#FA4616,UDFA,Miami Heat,MIA,23.31,75.5,"6'3.5""",77.75,"6'5.75""",2.25,205
Isaiah Crawford,2024,Wing,C-USA,Louisiana Tech,#003087,UDFA,Sacramento Kings,SAC,22.6,78,"6'6""",84,"7'0""",6,220
Isaac Jones,2024,Big,PAC 12,Washington State,#981E32,UDFA,Sacramento Kings,SAC,23.88,79.75,"6'7.75""",87,"7'3""",7.25,245
Justin Edwards,2024,Wing,SEC,Kentucky,#0033A0,UDFA,Philadelphia 76ers,PHI,20.51,78,"6'6""",82,"6'10""",4,209
N'Faly Dante,2024,Big,PAC 12,Oregon,#154733,UDFA,Houston Rockets,HOU,22.67,82,"6'10""",90,"7'6""",8,260
Armel Traoré,2024,Wing,French LNB Élite,ADA Blois,#2B633C,UDFA,Los Angeles Lakers,LAL,21.4,80,"6'8""",87,"7'3""",7,215
Boogie Ellis,2024,Guard,PAC 12,USC,#990000,UDFA,Sacramento Kings,SAC,23.54,72.75,"6'0.75""",79,"6'7""",6.25,190
Marcus Domask,2024,Wing,Big 10,Illinois,#E84A27,UDFA,Chicago Bulls,CHI,23.8,78.25,"6'6.25""",78.5,"6'6.5""",0.25,211
Judah Mintz,2024,Guard,ACC,Syracuse,#F76900,UDFA,Philadelphia 76ers,PHI,20.95,76,"6'4""",75.5,"6'3.5""",-0.5,176
Mantas Rubstavicius,2024,Wing,Aus. NBL,New Zealand,#DA73A4,UDFA,Golden State Warriors,GSW,22.12,79.25,"6'7.25""",79.25,"6'7.25""",0,200
Riley Minix,2024,Wing,OVC,Morehead State,#FFCF00,UDFA,San Antonio Spurs,SAS,23.76,79.5,"6'7.5""",81.5,"6'9.5""",2,230
Keisei Tominaga,2024,Guard,Big 10,Nebraska,#E41C38,UDFA,Indiana Pacers,IND,23.4,74,"6'2""",N/A,N/A,N/A,180
Malevy Leons,2024,Big,MVC,Bradley,#A50000,UDFA,Oklahoma City Thunder,OKC,24.75,81,"6'9""",85,"7'1""",4,210
Nae'Qwan Tomlin,2024,Big,American,Memphis,#003087,UDFA,Cleveland Cavaliers,CLE,23.5,80.25,"6'8.25""",86.5,"7'2.5""",6.25,205
Tolu Smith,2024,Big,SEC,Mississippi State,#660000,UDFA,Detroit Pistons,DET,23.92,82.75,"6'10.75""",84,"7'0""",1.25,245
Eric Gaines,2024,Guard,American,UAB,#006341,UDFA,Boston Celtics,BOS,23.42,73.25,"6'1.25""",79.5,"6'7.5""",6.25,165
Josiah-Jordan James,2024,Wing,SEC,Tennessee,#FF8200,UDFA,Indiana Pacers,IND,23.8,78.25,"6'6.25""",83.25,"6'11.25""",5,214
Sean East,2024,Guard,SEC,Missouri,#F1B82D,UDFA,Los Angeles Lakers,LAL,24.61,73.25,"6'1.25""",75.75,"6'3.75""",2.5,180
Dylan Disu,2024,Big,Big 12,Texas,#BF5700,UDFA,Toronto Raptors,TOR,23.63,81,"6'9""",84,"7'0""",3,225
Spencer Jones,2024,Wing,PAC 12,Stanford,#8C1515,UDFA,Denver Nuggets,DEN,24.49,79,"6'7""",83,"6'11""",4,225
Jesse Edwards,2024,Big,Big 12,West Virginia,#EAAA00,UDFA,Minnesota Timberwolves,MIN,24.28,83.5,"6'11.5""",89,"7'5""",5.5,236
Donta Scott,2024,Wing,Big 10,Maryland,#E03A3E,UDFA,Golden State Warriors,GSW,23.56,79.5,"6'7.5""",83,"6'11""",3.5,230
Clarence Daniels,2024,Wing,America East,New Hampshire,#BBBCBC,UDFA,Oklahoma City Thunder,OKC,23.55,77.5,"6'5.5""",82.5,"6'10.5""",5,210
David Jones,2024,Wing,American,Memphis,#003087,UDFA,Philadelphia 76ers,PHI,22.58,75.5,"6'3.5""",78.75,"6'6.75""",3.25,210
Tyler Thomas,2024,Guard,CAA,Hofstra,#FEB612,UDFA,Chicago Bulls,CHI,24.4,75,"6'3""",N/A,N/A,N/A,195
Kenan Blackshear,2024,Guard,Mountain West,Nevada,#003366,UDFA,Sacramento Kings,SAC,23.09,78.25,"6'6.25""",82,"6'10""",3.75,215
DJ Burns,2024,Big,ACC,NC State,#CC0000,UDFA,Cleveland Cavaliers,CLE,23.7,81,"6'9""",N/A,N/A,N/A,275
Emanuel Miller,2024,Wing,Big 12,TCU,#4D1979,UDFA,Chicago Bulls,CHI,24.02,78,"6'6""",81,"6'9""",3,215
Drew Pember,2024,Big,Big South,UNC Asheville,#003DA5,UDFA,Memphis Grizzlies,MEM,24.04,82.75,"6'10.75""",82,"6'10""",-0.75,215
Isaiah Stevens,2024,Guard,Mountain West,Colorado State,#1E4D2B,UDFA,Miami Heat,MIA,23.65,71,"5'11""",76,"6'4""",5,185
Joel Soriano,2024,Big,Big East,St. John's,#BA0C2F,UDFA,Charlotte Hornets,CHA,24.41,82,"6'10""",87.5,"7'3.5""",5.5,256
Hunter Cattoor,2024,Guard,ACC,Virginia Tech,#630031,UDFA,Cleveland Cavaliers,CLE,23.6,74.5,"6'2.5""",75,"6'3""",0.5,200
Daniss Jenkins,2024,Guard,Big East,St. John's,#BA0C2F,UDFA,Detroit Pistons,DET,22.85,75.25,"6'3.25""",78.5,"6'6.5""",3.25,165
Armando Bacot,2024,Big,ACC,North Carolina,#7BAFD4,UDFA,Memphis Grizzlies,MEM,24.31,81,"6'9""",85,"7'1""",4,240
Tristan Enaruna,2024,Wing,Horizon,Cleveland State,#006747,UDFA,Boston Celtics,BOS,23,80.25,"6'8.25""",85,"7'1""",4.75,220
Shahada Wells,2024,Guard,Southland,McNeese State,#00529B,UDFA,Houston Rockets,HOU,24.83,71.25,"5'11.25""",77,"6'5""",5.75,184
Josh Oduro,2024,Big,Big East,Providence,#8A8D8F,UDFA,New Orleans Pelicans,NOP,23.7,81,"6'9""",85,"7'1""",4,240
Warren Washington,2024,Big,Big 12,Texas Tech,#CC0000,UDFA,Miami Heat,MIA,24.32,84,"7'0""",N/A,N/A,N/A,225
Santiago Vescovi,2024,Guard,SEC,Tennessee,#FF8200,UDFA,Golden State Warriors,GSW,22.78,75.25,"6'3.25""",78.5,"6'6.5""",3.25,188
Jamarion Sharp,2024,Big,SEC,Ole Miss,#CE1126,UDFA,Dallas Mavericks,DAL,22.83,87.75,"7'3.75""",93,"7'9""",5.25,235
Alex Ducas,2024,Wing,WCC,Saint Mary's,#DB0024,UDFA,Oklahoma City Thunder,OKC,23.54,79.25,"6'7.25""",82,"6'10""",2.75,220
Gabe McGlothan,2024,Wing,WAC,Grand Canyon,#522398,UDFA,Denver Nuggets,DEN,25.32,79,"6'7""",N/A,N/A,N/A,235
RaeQuan Battle,2024,Wing,Big 12,West Virginia,#EAAA00,UDFA,Charlotte Hornets,CHA,23.35,76.5,"6'4.5""",80,"6'8""",3.5,195
Justin Moore,2024,Wing,Big East,Villanova,#13B5EA,UDFA,Milwaukee Bucks,MIL,24.21,77,"6'5""",N/A,N/A,N/A,210
Jordan Wright,2024,Wing,SEC,LSU,#461D7C,UDFA,Detroit Pistons,DET,23.76,77.5,"6'5.5""",79.5,"6'7.5""",2,230
Blake Hinson,2024,Wing,ACC,Pittsburgh,#003594,UDFA,Los Angeles Lakers,LAL,23.5,77.75,"6'5.75""",82.5,"6'10.5""",4.75,230
Mohamed Diarra,2024,Big,ACC,NC State,#CC0000,UDFA,Los Angeles Lakers,LAL,24.48,82,"6'10""",N/A,N/A,N/A,225
Kevin Cross,2024,Wing,American,Tulane,#006747,UDFA,Charlotte Hornets,CHA,24.43,80,"6'8""",N/A,N/A,N/A,225
Tre Mitchell,2024,Big,SEC,Kentucky,#0033A0,UDFA,Oklahoma City Thunder,OKC,23.76,81,"6'9""",N/A,N/A,N/A,240
Tyrese Samuel,2024,Big,SEC,Florida,#FA4616,UDFA,Phoenix Suns,PHX,24.3,81.25,"6'9.25""",87.5,"7'3.5""",6.25,239
Jahmir Young,2024,Guard,Big 10,Maryland,#E03A3E,UDFA,Denver Nuggets,DEN,23.72,72.75,"6'0.75""",76.5,"6'4.5""",3.75,185
Xavier Johnson,2024,Guard,MVC,Southern Illinois,#720000,UDFA,Dallas Mavericks,DAL,24.7,72.75,"6'0.75""",77.5,"6'5.5""",4.75,189
DJ Horne,2024,Guard,ACC,NC State,#CC0000,UDFA,San Antonio Spurs,SAS,23.65,74,"6'2""",N/A,N/A,N/A,175
Jamison Battle,2024,Wing,Big 10,Ohio State,#BB0000,UDFA,Toronto Raptors,TOR,23.12,79.25,"6'7.25""",81,"6'9""",1.75,220
Jaedon LeDee,2024,Wing,Mountain West,San Diego State,#A6192E,UDFA,Minnesota Timberwolves,MIN,24.92,79.75,"6'7.75""",83,"6'11""",3.25,240
Jaelen House,2024,Guard,Mountain West,New Mexico,#BA0C2F,UDFA,Boston Celtics,BOS,23.15,71.25,"5'11.25""",74.25,"6'2.25""",3,165
Vonterius Woolbright,2024,Wing,Southern,Western Carolina,#592C88,UDFA,Houston Rockets,HOU,23.72,77.25,"6'5.25""",78.5,"6'6.5""",1.25,215
Quincy Olivari,2024,Wing,Big East,Xavier,#9EA2A2,UDFA,Los Angeles Lakers,LAL,23.08,74.5,"6'2.5""",79,"6'7""",4.5,200
Keion Brooks Jr.,2024,Wing,PAC 12,Washington,#4B2E83,UDFA,New Orleans Pelicans,NOP,23.88,78.75,"6'6.75""",82.5,"6'10.5""",3.75,210
Boo Buie,2024,Guard,Big 10,Northwestern,#4E2A84,UDFA,New York Knicks,NYK,23.55,74,"6'2""",N/A,N/A,N/A,180
RayJ Dennis,2024,Guard,Big 12,Baylor,#154734,UDFA,Indiana Pacers,IND,23.24,74.75,"6'2.75""",80.5,"6'8.5""",5.75,180
Aaron Estrada,2024,Guard,SEC,Alabama,#9E1B32,UDFA,Detroit Pistons,DET,23.39,75.5,"6'3.5""",77.5,"6'5.5""",2,190
Tyrece Radford,2024,Wing,SEC,Texas A&M,#500000,UDFA,San Antonio Spurs,SAS,25.18,73.5,"6'1.5""",81,"6'9""",7.5,200
Mark Armstrong,2024,Guard,Big East,Villanova,#13B5EA,UDFA,Brooklyn Nets,BKN,20.35,73.25,"6'1.25""",76.25,"6'4.25""",3,180
Jermaine Couisnard,2024,Guard,PAC 12,Oregon,#154733,UDFA,New Orleans Pelicans,NOP,24.49,76.5,"6'4.5""",81.5,"6'9.5""",5,215
Tyson Walker,2024,Guard,Big 10,Michigan State,#18453B,UDFA,Phoenix Suns,PHX,23.77,72.5,"6'0.5""",75.5,"6'3.5""",3,185
Branden Carlson,2024,Big,PAC 12,Utah,#CC0000,UDFA,Oklahoma City Thunder,OKC,25.01,83.75,"6'11.75""",85,"7'1""",1.25,220
Jaylin Williams,2024,Wing,SEC,Auburn,#E87722,UDFA,Denver Nuggets,DEN,23.92,80.25,"6'8.25""",84,"7'0""",3.75,238
Babacar Sane,2024,Wing,G League,G League Ignite,#8C2A93,UDFA,Utah Jazz,UTA,20.77,78.75,"6'6.75""",86.5,"7'2.5""",7.75,230
Bryson Warren,2024,Guard,G League,Sioux Falls,#98002E,UDFA,Miami Heat,MIA,19.7,73.5,"6'1.5""",78.25,"6'6.25""",4.75,174
Quinn Ellis,2024,Guard,Italian Serie A,Trento,#2F353F,UDFA,Portland Trail Blazers,POR,21.24,76,"6'4""",80.5,"6'8.5""",4.5,194
Taran Armstrong,2024,Guard,Aus. NBL,Cairns,#DE6237,UDFA,Golden State Warriors,GSW,22.45,76.75,"6'4.75""",78,"6'6""",1.25,190
Victor Wembanyama,2023,Big,French LNB Élite,Metropolitans 92,#F1BD48,1,San Antonio Spurs,SAS,19.45,88,"7'4""",96,"8'0""",8,220
Brandon Miller,2023,Wing,SEC,Alabama,#9E1B32,2,Charlotte Hornets,CHA,20.57,79,"6'7""",83.5,"6'11.5""",4.5,200
Scoot Henderson,2023,Guard,G League,G League Ignite,#8C2A93,3,Portland Trail Blazers,POR,19.37,74.5,"6'2.5""",81,"6'9""",6.5,195
Amen Thompson,2023,Guard,Overtime Elite,OTE City Reapers,#B03736,4,Houston Rockets,HOU,20.38,77.75,"6'5.75""",84,"7'0""",6.25,214
Ausar Thompson,2023,Wing,Overtime Elite,OTE City Reapers,#B03736,5,Detroit Pistons,DET,20.38,77.75,"6'5.75""",84,"7'0""",6.25,218
Anthony Black,2023,Guard,SEC,Arkansas,#9D2235,6,Orlando Magic,ORL,19.41,77.75,"6'5.75""",79.5,"6'7.5""",1.75,210
Bilal Coulibaly,2023,Wing,French LNB Élite,Metropolitans 92,#F1BD48,7,Washington Wizards,WAS,18.9,79.5,"6'7.5""",86.5,"7'2.5""",7,194
Jarace Walker,2023,Big,American,Houston,#C8102E,8,Indiana Pacers,IND,19.79,78.5,"6'6.5""",86.5,"7'2.5""",8,249
Taylor Hendricks,2023,Wing,American,UCF,#BA9B37,9,Utah Jazz,UTA,19.57,80.25,"6'8.25""",84.5,"7'0.5""",4.25,214
Cason Wallace,2023,Guard,SEC,Kentucky,#0033A0,10,Oklahoma City Thunder,OKC,19.61,74.5,"6'2.5""",80.5,"6'8.5""",6,195
Jett Howard,2023,Wing,Big 10,Michigan,#FFCB05,11,Orlando Magic,ORL,19.76,78,"6'6""",81,"6'9""",3,215
Dereck Lively II,2023,Big,ACC,Duke,#003087,12,Dallas Mavericks,DAL,19.35,85,"7'1""",91,"7'7""",6,215
Gradey Dick,2023,Wing,Big 12,Kansas,#0051BA,13,Toronto Raptors,TOR,19.58,78.25,"6'6.25""",80.75,"6'8.75""",2.5,204
Jordan Hawkins,2023,Guard,Big East,UConn,#E4002B,14,New Orleans Pelicans,NOP,21.14,76.25,"6'4.25""",78.75,"6'6.75""",2.5,186
Kobe Bufkin,2023,Guard,Big 10,Michigan,#FFCB05,15,Atlanta Hawks,ATL,19.74,76.25,"6'4.25""",79.75,"6'7.75""",3.5,187
Keyonte George,2023,Guard,Big 12,Baylor,#154734,16,Utah Jazz,UTA,19.61,76,"6'4""",78,"6'6""",2,185
Jalen Hood-Schifino,2023,Guard,Big 10,Indiana,#990000,17,Los Angeles Lakers,LAL,20,76.25,"6'4.25""",82.25,"6'10.25""",6,217
Jaime Jaquez Jr.,2023,Wing,PAC 12,UCLA,#2D68C4,18,Miami Heat,MIA,22.33,78,"6'6""",81.5,"6'9.5""",3.5,226
Brandin Podziemski,2023,Guard,WCC,Santa Clara,#862633,19,Golden State Warriors,GSW,20.31,75.75,"6'3.75""",77.5,"6'5.5""",1.75,204
Cam Whitmore,2023,Wing,Big East,Villanova,#13B5EA,20,Houston Rockets,HOU,18.95,77.75,"6'5.75""",80.5,"6'8.5""",2.75,235
Noah Clowney,2023,Big,SEC,Alabama,#9E1B32,21,Brooklyn Nets,BKN,18.93,81,"6'9""",86,"7'2""",5,210
Dariq Whitehead,2023,Wing,ACC,Duke,#003087,22,Brooklyn Nets,BKN,18.88,77.75,"6'5.75""",82.25,"6'10.25""",4.5,217
Kris Murray,2023,Wing,Big 10,Iowa,#FFCD00,23,Portland Trail Blazers,POR,22.83,79.75,"6'7.75""",83.75,"6'11.75""",4,213
Olivier-Maxence Prosper,2023,Wing,Big East,Marquette,#FFCC00,24,Dallas Mavericks,DAL,20.96,78.75,"6'6.75""",85,"7'1""",6.25,212
Marcus Sasser,2023,Guard,American,Houston,#C8102E,25,Detroit Pistons,DET,22.74,73.25,"6'1.25""",79,"6'7""",5.75,196
Ben Sheppard,2023,Wing,MVC,Belmont,#C8102E,26,Indiana Pacers,IND,21.93,77.25,"6'5.25""",79.75,"6'7.75""",2.5,195
Nick Smith Jr.,2023,Guard,SEC,Arkansas,#9D2235,27,Charlotte Hornets,CHA,19.17,74,"6'2""",80,"6'8""",6,185
Brice Sensabaugh,2023,Wing,Big 10,Ohio State,#BB0000,28,Utah Jazz,UTA,19.64,77,"6'5""",83,"6'11""",6,235
Julian Strawther,2023,Wing,WCC,Gonzaga,#C8102E,29,Denver Nuggets,DEN,21.17,78,"6'6""",81.25,"6'9.25""",3.25,209
Kobe Brown,2023,Wing,SEC,Missouri,#F1B82D,30,Los Angeles Clippers,LAC,23.46,78.5,"6'6.5""",84.75,"7'0.75""",6.25,252
James Nnaji,2023,Big,Spanish ACB,Barcelona,#004D98,31,Charlotte Hornets,CHA,18.85,83,"6'11""",89,"7'5""",6,251
Jalen Pickett,2023,Guard,Big 10,Penn State,#FFFFF,32,Denver Nuggets,DEN,23.66,74,"6'2""",79.25,"6'7.25""",5.25,198
Leonard Miller,2023,Wing,G League,G League Ignite,#8C2A93,33,Minnesota Timberwolves,MIN,19.56,81.25,"6'9.25""",86,"7'2""",4.75,213
Colby Jones,2023,Wing,Big East,Xavier,#9EA2A2,34,Sacramento Kings,SAC,21.06,76.5,"6'4.5""",80,"6'8""",3.5,199
Julian Phillips,2023,Wing,SEC,Tennessee,#FF8200,35,Chicago Bulls,CHI,19.62,78.75,"6'6.75""",83.5,"6'11.5""",4.75,197
Andre Jackson Jr.,2023,Wing,Big East,UConn,#E4002B,36,Milwaukee Bucks,MIL,21.6,77.5,"6'5.5""",81.75,"6'9.75""",4.25,198
Hunter Tyson,2023,Wing,ACC,Clemson,#F56600,37,Denver Nuggets,DEN,23.02,79.5,"6'7.5""",81.75,"6'9.75""",2.25,209
Jordan Walsh,2023,Wing,SEC,Arkansas,#9D2235,38,Boston Celtics,BOS,19.3,77.75,"6'5.75""",85.75,"7'1.75""",8,204
Mouhamed Gueye,2023,Big,PAC 12,Washington State,#981E32,39,Atlanta Hawks,ATL,20.61,82.25,"6'10.25""",87.25,"7'3.25""",5,213
Maxwell Lewis,2023,Wing,WCC,Pepperdine,#EE7624,40,Los Angeles Lakers,LAL,20.9,78.25,"6'6.25""",84,"7'0""",5.75,207
Amari Bailey,2023,Guard,PAC 12,UCLA,#2D68C4,41,Charlotte Hornets,CHA,19.33,75.25,"6'3.25""",79,"6'7""",3.75,191
Tristan Vukcevic,2023,Big,Adriatic ABA,KK Partizan,#ED1D24,42,Washington Wizards,WAS,20.27,83.25,"6'11.25""",86.5,"7'2.5""",3.25,225
Rayan Rupert,2023,Wing,Aus. NBL,New Zealand,#DA73A4,43,Portland Trail Blazers,POR,19.05,78,"6'6""",86,"7'2""",8,193
Sidy Cissoko,2023,Wing,G League,G League Ignite,#8C2A93,44,San Antonio Spurs,SAS,19.21,77.5,"6'5.5""",81.75,"6'9.75""",4.25,224
GG Jackson,2023,Wing,SEC,South Carolina,#73000A,45,Memphis Grizzlies,MEM,18.5,80.25,"6'8.25""",83.5,"6'11.5""",3.25,214
Seth Lundy,2023,Wing,Big 10,Penn State,#FFFFF,46,Atlanta Hawks,ATL,23.21,76,"6'4""",82.25,"6'10.25""",6.25,214
Mojave King,2023,Wing,G League,G League Ignite,#8C2A93,47,Indiana Pacers,IND,20.94,75.75,"6'3.75""",80,"6'8""",4.25,201
Jordan Miller,2023,Wing,ACC,Miami,#F47321,48,Los Angeles Clippers,LAC,23.4,76.5,"6'4.5""",83.75,"6'11.75""",7.25,192
Emoni Bates,2023,Wing,MAC,Eastern Michigan,#006633,49,Cleveland Cavaliers,CLE,19.39,80.25,"6'8.25""",81,"6'9""",0.75,179
Keyontae Johnson,2023,Wing,Big 12,Kansas State,#512888,50,Oklahoma City Thunder,OKC,23.07,76,"6'4""",84,"7'0""",8,239
Jalen Wilson,2023,Wing,Big 12,Kansas,#0051BA,51,Brooklyn Nets,BKN,22.62,77.5,"6'5.5""",80,"6'8""",2.5,230
Toumani Camara,2023,Wing,A-10,Dayton,#CE1141,52,Phoenix Suns,PHX,23.12,79,"6'7""",84.5,"7'0.5""",5.5,220
Jaylen Clark,2023,Wing,PAC 12,UCLA,#2D68C4,53,Minnesota Timberwolves,MIN,21.68,76,"6'4""",81,"6'9""",5,204
Jalen Slawson,2023,Wing,Southern,Furman,#582C83,54,Sacramento Kings,SAC,23.66,78.5,"6'6.5""",83.75,"6'11.75""",5.25,222
Isaiah Wong,2023,Guard,ACC,Miami,#F47321,55,Indiana Pacers,IND,22.39,74.5,"6'2.5""",78.75,"6'6.75""",4.25,178
Tarik Biberovic,2023,Wing,Turkish BSL,Fenerbahçe,#FFED00,56,Memphis Grizzlies,MEM,22.39,79,"6'7""",83,"6'11""",4,218
Trayce Jackson-Davis,2023,Big,Big 10,Indiana,#990000,57,Golden State Warriors,GSW,23.32,80.25,"6'8.25""",85,"7'1""",4.75,240
Chris Livingston,2023,Wing,SEC,Kentucky,#0033A0,58,Milwaukee Bucks,MIL,19.68,78,"6'6""",83.25,"6'11.25""",5.25,219
Charles Bediako,2023,Big,SEC,Alabama,#9E1B32,UDFA,San Antonio Spurs,SAS,21.28,82,"6'10""",87.25,"7'3.25""",5.25,223
Colin Castleton,2023,Big,SEC,Florida,#FA4616,UDFA,Los Angeles Lakers,LAL,23.07,82.5,"6'10.5""",87.5,"7'3.5""",5,234
Ricky Council IV,2023,Wing,SEC,Arkansas,#9D2235,UDFA,Philadelphia 76ers,PHI,21.88,77,"6'5""",81,"6'9""",4,208
Adam Flagler,2023,Guard,Big 12,Baylor,#154734,UDFA,Oklahoma City Thunder,OKC,23.55,73,"6'1""",76.5,"6'4.5""",3.5,192
Adama Sanogo,2023,Big,Big East,UConn,#E4002B,UDFA,Chicago Bulls,CHI,21.35,79.25,"6'7.25""",86.75,"7'2.75""",7.5,258
Terquavion Smith,2023,Guard,ACC,NC State,#CC0000,UDFA,Philadelphia 76ers,PHI,20.47,74.5,"6'2.5""",78.75,"6'6.75""",4.25,163
Drew Timme,2023,Big,WCC,Gonzaga,#C8102E,UDFA,Milwaukee Bucks,MIL,22.78,80.75,"6'8.75""",85.75,"7'1.75""",5,243
Oscar Tshiebwe,2023,Big,SEC,Kentucky,#0033A0,UDFA,Indiana Pacers,IND,23.56,79.25,"6'7.25""",87.5,"7'3.5""",8.25,254
Craig Porter Jr.,2023,Guard,American,Wichita State,#FFCD00,UDFA,Cleveland Cavaliers,CLE,23.22,73,"6'1""",76,"6'4""",3,176
Trey Jemison,2023,Big,C-USA,UAB,#006341,UDFA,Phoenix Suns,PHX,23.57,82,"6'10""",86,"7'2""",4,260
Yuki Kawamura,2023,Guard,Japanese B.League,Yokohama,#AC2321,UDFA,Memphis Grizzlies,MEM,22.15,68,"5'8""",71,"5'11""",3,159
Drew Peterson,2023,Wing,PAC 12,USC,#990000,UDFA,Miami Heat,MIA,23.63,81,"6'9""",85,"7'1""",4,205
Pete Nance,2023,Big,ACC,North Carolina,#7BAFD4,UDFA,Cleveland Cavaliers,CLE,23.35,82,"6'10""",84.5,"7'0.5""",2.5,218
Paolo Banchero,2022,Wing,ACC,Duke,#003087,1,Orlando Magic,ORL,19.6,81,"6'9""",84.5,"7'0.5""",3.5,250
Chet Holmgren,2022,Big,WCC,Gonzaga,#C8102E,2,Oklahoma City Thunder,OKC,20.13,84,"7'0""",90,"7'6""",6,195
Jabari Smith Jr.,2022,Wing,SEC,Auburn,#E87722,3,Houston Rockets,HOU,19.1,82.5,"6'10.5""",85,"7'1""",2.5,210
Keegan Murray,2022,Wing,Big 10,Iowa,#FFCD00,4,Sacramento Kings,SAC,21.83,80,"6'8""",83,"6'11""",3,225
Jaden Ivey,2022,Guard,Big 10,Purdue,#CEB888,5,Detroit Pistons,DET,20.35,75.5,"6'3.5""",81,"6'9""",5.5,200
Bennedict Mathurin,2022,Wing,PAC 12,Arizona,#CC0033,6,Indiana Pacers,IND,20,76.5,"6'4.5""",81,"6'9""",4.5,205
Shaedon Sharpe,2022,Guard,SEC,Kentucky,#0033A0,7,Portland Trail Blazers,POR,19.05,76.25,"6'4.25""",83.5,"6'11.5""",7.25,198
Dyson Daniels,2022,Guard,G League,G League Ignite,#8C2A93,8,New Orleans Pelicans,NOP,19.26,78,"6'6""",82.5,"6'10.5""",4.5,195
Jeremy Sochan,2022,Wing,Big 12,Baylor,#154734,9,San Antonio Spurs,SAS,19.08,80.5,"6'8.5""",83.75,"6'11.75""",3.25,230
Johnny Davis,2022,Guard,Big 10,Wisconsin,#C5050C,10,Washington Wizards,WAS,20.31,76.25,"6'4.25""",80.5,"6'8.5""",4.25,196
Ousmane Dieng,2022,Wing,Aus. NBL,New Zealand,#DA73A4,11,Oklahoma City Thunder,OKC,19.08,81.5,"6'9.5""",84,"7'0""",2.5,185
Jalen Williams,2022,Wing,WCC,Santa Clara,#862633,12,Oklahoma City Thunder,OKC,21.18,76.5,"6'4.5""",86.25,"7'2.25""",9.75,209
Jalen Duren,2022,Big,American,Memphis,#003087,13,Detroit Pistons,DET,18.58,82.5,"6'10.5""",89,"7'5""",6.5,250
Ochai Agbaji,2022,Wing,Big 12,Kansas,#0051BA,14,Cleveland Cavaliers,CLE,22.16,76.5,"6'4.5""",82.25,"6'10.25""",5.75,217
Mark Williams,2022,Big,ACC,Duke,#003087,15,Charlotte Hornets,CHA,20.51,84,"7'0""",90.5,"7'6.5""",6.5,242
